"","FIPS","num_acute_beds"
"849",21173,30
"850",21175,25
"851",21177,0
"852",21179,12
"853",21183,21
"854",21185,26
"855",21193,189
"856",21195,268
"857",21199,0
"858",21203,0
"859",21205,0
"860",21207,23
"861",21209,37
"862",21211,26
"863",21213,25
"864",21217,70
"865",21221,0
"866",21225,25
"867",21227,273
"868",21231,25
"869",21235,158
"870",21239,0
"871",22001,0
"872",22003,0
"873",22005,0
"874",22007,0
"875",22009,30
"876",22011,35
"877",22013,0
"878",22015,0
"879",22017,515
"880",22019,308
"881",22021,37
"882",22023,0
"883",22027,0
"884",22029,60
"885",22031,0
"886",22033,894
"887",22035,0
"888",22037,0
"889",22039,12
"890",22041,24
"891",22045,90
"892",22047,0
"893",22049,25
"894",22051,828
"895",22053,37
"896",22055,446
"897",22057,133
"898",22059,30
"899",22061,0
"900",22063,43
"901",22065,0
"902",22067,0
"903",22069,77
"904",22071,325
"905",22073,339
"906",22077,25
"907",22079,446
"908",22081,0
"909",22083,0
"910",22085,0
"911",22087,32
"912",22089,31
"913",22091,0
"914",22093,10
"915",22097,90
"916",22099,25
"917",22101,18
"918",22103,412
"919",22105,216
"920",22109,178
"921",22111,15
"922",22113,20
"923",22115,0
"924",22117,0
"925",22119,0
"926",22123,0
"927",22125,0
"928",22127,0
"929",23001,88
"930",23003,78
"931",23005,527
"932",23007,32
"933",23009,19
"934",23011,152
"935",23013,53
"936",23015,25
"937",23017,38
"938",23019,334
"939",23021,43
"940",23025,41
"941",23027,17
"942",23029,41
"943",23031,120
"944",24001,116
"945",24003,458
"946",24005,674
"947",24009,55
"948",24013,87
"949",24015,68
"950",24017,81
"951",24019,0
"952",24021,195
"953",24023,30
"954",24025,53
"955",24027,165
"956",24029,0
"957",24031,744
"958",24033,291
"959",24037,67
"960",24039,0
"961",24041,0
"962",24043,215
"963",24045,218
"964",24047,0
"965",24510,1994
"966",25001,268
"967",25003,172
"968",25005,483
"969",25007,17
"970",25009,475
"971",25011,44
"972",25013,808
"973",25015,34
"974",25017,1397
"975",25019,12
"976",25021,328
"977",25023,131
"978",25025,2337
"979",25027,854
"980",26003,0
"981",26005,25
"982",26007,78
"983",26011,0
"984",26013,13
"985",26015,28
"986",26017,207
"987",26019,8
"988",26021,25
"989",26023,36
"990",26025,135
"991",26027,17
"992",26029,21
"993",26033,38
"994",26035,45
"995",26037,23
"996",26039,60
"997",26041,9
"998",26043,29
"999",26045,45
"1000",26047,84
"1001",26049,672
"1002",26051,25
"1003",26053,18
"1004",26055,320
"1005",26057,13
"1006",26059,32
"1007",26061,40
"1008",26063,59
