"","FIPS","num_icu_beds"
"739",20091,131
"740",20093,0
"741",20095,2
"742",20097,0
"743",20099,5
"744",20101,0
"745",20103,10
"746",20105,0
"747",20109,0
"748",20111,0
"749",20113,7
"750",20115,0
"751",20117,0
"752",20119,0
"753",20121,0
"754",20123,0
"755",20125,7
"756",20127,2
"757",20129,4
"758",20131,0
"759",20133,0
"760",20135,0
"761",20137,0
"762",20141,0
"763",20143,0
"764",20145,0
"765",20147,0
"766",20149,0
"767",20151,6
"768",20153,0
"769",20155,13
"770",20157,0
"771",20159,0
"772",20161,8
"773",20163,0
"774",20165,0
"775",20167,0
"776",20169,18
"777",20171,0
"778",20173,199
"779",20175,8
"780",20177,44
"781",20179,0
"782",20181,0
"783",20183,0
"784",20185,0
"785",20187,0
"786",20189,0
"787",20191,0
"788",20193,0
"789",20195,0
"790",20201,0
"791",20203,0
"792",20205,0
"793",20209,148
"794",21001,0
"795",21003,0
"796",21009,0
"797",21013,7
"798",21015,18
"799",21017,4
"800",21019,12
"801",21021,0
"802",21025,0
"803",21027,0
"804",21033,0
"805",21035,10
"806",21037,14
"807",21041,0
"808",21045,0
"809",21047,0
"810",21049,0
"811",21051,0
"812",21053,0
"813",21055,0
"814",21057,0
"815",21059,34
"816",21065,0
"817",21067,303
"818",21069,0
"819",21071,0
"820",21073,0
"821",21081,0
"822",21083,0
"823",21085,0
"824",21087,0
"825",21093,20
"826",21095,7
"827",21097,6
"828",21099,0
"829",21101,12
"830",21107,20
"831",21111,319
"832",21115,0
"833",21117,176
"834",21121,6
"835",21125,0
"836",21127,6
"837",21131,0
"838",21133,6
"839",21137,0
"840",21139,0
"841",21141,6
"842",21145,32
"843",21151,12
"844",21155,0
"845",21157,0
"846",21161,6
"847",21167,0
"848",21171,0
"849",21173,4
"850",21175,0
"851",21177,0
"852",21179,12
"853",21183,4
"854",21185,7
"855",21193,16
"856",21195,78
"857",21199,0
"858",21203,0
"859",21205,0
"860",21207,2
"861",21209,7
"862",21211,0
"863",21213,0
"864",21217,8
"865",21221,0
"866",21225,0
"867",21227,30
"868",21231,0
"869",21235,10
"870",21239,0
"871",22001,0
"872",22003,0
"873",22005,0
"874",22007,0
"875",22009,2
"876",22011,6
"877",22013,0
"878",22015,0
"879",22017,113
"880",22019,74
"881",22021,0
"882",22023,0
"883",22027,0
"884",22029,5
"885",22031,0
"886",22033,209
"887",22035,0
"888",22037,0
"889",22039,5
"890",22041,6
"891",22045,8
"892",22047,0
"893",22049,0
"894",22051,224
"895",22053,5
"896",22055,80
"897",22057,21
"898",22059,0
"899",22061,0
"900",22063,0
"901",22065,0
"902",22067,0
"903",22069,8
"904",22071,76
"905",22073,64
"906",22077,0
"907",22079,75
"908",22081,0
"909",22083,0
"910",22085,0
"911",22087,8
"912",22089,8
"913",22091,0
"914",22093,0
"915",22097,16
"916",22099,0
"917",22101,4
"918",22103,109
"919",22105,28
"920",22109,27
"921",22111,0
"922",22113,5
"923",22115,0
"924",22117,0
"925",22119,0
"926",22123,0
"927",22125,0
"928",22127,0
"929",23001,38
"930",23003,23
"931",23005,78
"932",23007,5
"933",23009,3
"934",23011,26
"935",23013,6
"936",23015,0
"937",23017,0
"938",23019,51
"939",23021,0
"940",23025,6
"941",23027,4
"942",23029,0
"943",23031,14
"944",24001,14
"945",24003,50
"946",24005,104
"947",24009,4
"948",24013,12
"949",24015,9
"950",24017,10
"951",24019,0
"952",24021,18
"953",24023,4
"954",24025,6
"955",24027,16
"956",24029,0
"957",24031,234
"958",24033,42
"959",24037,12
"960",24039,0
"961",24041,0
"962",24043,52
"963",24045,42
"964",24047,0
"965",24510,573
"966",25001,34
"967",25003,25
"968",25005,54
"969",25007,3
"970",25009,59
"971",25011,6
"972",25013,91
"973",25015,6
"974",25017,190
"975",25019,1
"976",25021,31
"977",25023,16
"978",25025,389
"979",25027,163
"980",26003,0
"981",26005,0
"982",26007,9
"983",26011,0
"984",26013,0
"985",26015,4
"986",26017,32
"987",26019,0
"988",26021,0
"989",26023,4
"990",26025,20
"991",26027,5
"992",26029,0
"993",26033,6
"994",26035,0
"995",26037,2
"996",26039,6
"997",26041,8
"998",26043,4
"999",26045,0
"1000",26047,58
"1001",26049,140
"1002",26051,0
"1003",26053,3
"1004",26055,50
"1005",26057,18
"1006",26059,4
"1007",26061,8
"1008",26063,2
"1009",26065,48
"1010",26067,4
"1011",26069,0
"1012",26071,1
"1013",26073,8
"1014",26075,22
"1015",26077,58
"1016",26079,0
"1017",26081,174
"1018",26087,10
"1019",26091,9
"1020",26093,28
"1021",26095,0
"1022",26097,0
"1023",26099,122
"1024",26101,0
"1025",26103,28
"1026",26105,6
"1027",26107,4
"1028",26111,28
"1029",26115,10
"1030",26117,12
"1031",26121,33
"1032",26123,9
"1033",26125,381
"1034",26127,0
"1035",26129,10
"1036",26131,0
"1037",26133,0
"1038",26137,10
"1039",26139,14
"1040",26145,93
"1041",26147,59
"1042",26149,8
"1043",26151,0
"1044",26153,2
"1045",26155,15
"1046",26157,0
"1047",26159,8
"1048",26161,181
"1049",26163,530
"1050",26165,6
"1051",27001,0
"1052",27003,132
"1053",27005,8
