"","FIPS","num_icu_beds"
"1378",27145,41
"1379",27147,0
"1380",27149,0
"1381",27151,0
"1382",27153,3
"1383",27155,0
"1384",27157,0
"1385",27159,2
"1386",27161,0
"1387",27163,31
"1388",27165,0
"1389",27167,0
"1390",27169,8
"1391",27171,3
"1392",27173,0
"1393",28001,15
"1394",28003,24
"1395",28005,0
"1396",28007,0
"1397",28009,0
"1398",28011,8
"1399",28013,0
"1400",28015,0
"1401",28017,0
"1402",28019,0
"1403",28021,0
"1404",28023,0
"1405",28025,6
"1406",28027,10
"1407",28029,0
"1408",28031,0
"1409",28033,44
"1410",28035,48
"1411",28037,0
"1412",28039,6
"1413",28041,0
"1414",28043,5
"1415",28045,6
"1416",28047,57
"1417",28049,218
"1418",28051,0
"1419",28053,0
"1420",28055,0
"1421",28057,0
"1422",28059,48
"1423",28061,0
"1424",28063,0
"1425",28065,0
"1426",28067,14
"1427",28069,0
"1428",28071,24
"1429",28073,17
"1430",28075,51
"1431",28077,0
"1432",28079,0
"1433",28081,42
"1434",28083,9
"1435",28085,5
"1436",28087,18
"1437",28089,7
"1438",28091,6
"1439",28093,0
"1440",28095,9
"1441",28097,0
"1442",28099,0
"1443",28101,0
"1444",28103,0
"1445",28105,6
"1446",28107,0
"1447",28109,6
"1448",28111,0
"1449",28113,28
"1450",28115,0
"1451",28117,11
"1452",28119,0
"1453",28121,18
"1454",28123,0
"1455",28125,0
"1456",28127,0
"1457",28129,0
"1458",28131,0
"1459",28133,0
"1460",28135,0
"1461",28137,0
"1462",28139,0
"1463",28141,0
"1464",28143,0
"1465",28145,8
"1466",28147,0
"1467",28149,22
"1468",28151,22
"1469",28153,6
"1470",28155,0
"1471",28157,0
"1472",28159,0
"1473",28161,0
"1474",28163,0
"1475",29001,10
"1476",29003,0
"1477",29005,0
"1478",29007,0
"1479",29009,0
"1480",29011,4
"1481",29013,0
"1482",29015,0
"1483",29017,0
"1484",29019,110
"1485",29021,21
"1486",29023,14
"1487",29025,0
"1488",29027,0
"1489",29029,18
"1490",29031,32
"1491",29033,0
"1492",29035,0
"1493",29037,9
"1494",29039,0
"1495",29041,0
"1496",29043,0
"1497",29045,0
"1498",29047,172
"1499",29049,5
"1500",29051,25
"1501",29053,0
"1502",29055,0
"1503",29057,0
"1504",29059,0
"1505",29061,0
"1506",29063,0
"1507",29065,0
"1508",29067,0
"1509",29069,0
"1510",29071,13
"1511",29073,0
"1512",29075,0
"1513",29077,163
"1514",29079,0
"1515",29081,0
"1516",29083,8
"1517",29085,0
"1518",29087,0
"1519",29089,0
"1520",29091,12
"1521",29093,0
"1522",29095,274
"1523",29097,88
"1524",29099,67
"1525",29101,0
"1526",29103,0
"1527",29105,4
"1528",29107,2
"1529",29109,0
"1530",29111,0
"1531",29113,4
"1532",29115,0
"1533",29117,0
"1534",29119,0
"1535",29121,0
"1536",29123,0
"1537",29125,0
"1538",29127,8
"1539",29129,0
"1540",29131,0
"1541",29133,0
"1542",29135,0
"1543",29137,0
"1544",29139,0
"1545",29141,0
"1546",29143,0
"1547",29145,0
"1548",29147,0
"1549",29149,0
