State,County,population,current_reported_cases,acute_beds,icu_beds,first_day_over_acute_capacity,first_day_over_icu_capacity,acute_bed_utilization_on_day_30,icu_bed_utilization_on_day_30
Georgia,Cobb County,756865,90,680,111,49,44,0.0835250250774252,0.137162686521399
Massachusetts,Bristol County,564022,31,483,54,55,44,0.0459211888442668,0.13446337409545
New Jersey,Mercer County,369811,58,427,92,48,44,0.0912654679142817,0.13417853785654
Mississippi,Oktibbeha County,49599,5,75,6,58,44,0.034219995884155,0.132612184158181
Tennessee,Loudon County,53054,2,25,5,51,44,0.0685454366814657,0.131948262089907
California,Contra Costa County,1150215,86,698,142,48,44,0.0850270997493496,0.130967054047788
Florida,Sarasota County,426718,26,584,94,55,44,0.0438196333368104,0.130785771415721
Indiana,Hamilton County,330086,25,231,33,51,44,0.0674546291312484,0.13026758820569
Oklahoma,Kay County,44161,5,46,10,50,44,0.0759726048260658,0.129465598189286
West Virginia,Jefferson County,56811,3,16,5,44,44,0.134653256902526,0.128494154217795
Oregon,Grant County,7176,1,11,3,49,44,0.0825625900099702,0.12808884000002
South Dakota,Charles Mix County,9338,1,35,2,64,44,0.0189790867941036,0.127979755997273
Iowa,Henry County,20067,1,13,2,53,44,0.0551504218838715,0.127256335007425
Kentucky,Bourbon County,20184,2,17,4,48,44,0.0858733510878172,0.126868364833586
Florida,Okaloosa County,207269,14,139,24,51,44,0.0679747692602947,0.126504256236478
North Carolina,Carteret County,69524,4,80,10,55,44,0.0434048977502376,0.126401476759334
Florida,Miami-Dade County,2761581,338,3075,608,49,44,0.0762188359251678,0.126191401503508
Oregon,Yamhill County,107002,6,58,11,50,45,0.0712102990212604,0.12476030859824
Texas,Fannin County,35286,1,23,2,58,45,0.0315711750132753,0.123486209197151
Mississippi,Leflore County,28919,10,125,16,54,45,0.0489071423102381,0.123395361307541
Colorado,Logan County,21528,2,18,4,49,45,0.0777420472049808,0.122619788467523
Oregon,Marion County,346868,32,190,55,46,45,0.109641048927052,0.121784211145724
Indiana,Gibson County,33452,2,20,4,50,45,0.07102302624993,0.120322078497523
North Carolina,Iredell County,178435,9,116,16,53,45,0.0544954520998582,0.120077159978308
District of Columbia,District of Columbia,702455,183,1183,259,48,45,0.0913013540389881,0.120063730623385
South Carolina,Jasper County,28971,2,21,4,50,45,0.0720020038894463,0.119929205738159
Indiana,Howard County,82366,6,23,13,40,45,0.191510482556091,0.119735016356913
Georgia,Douglas County,145331,12,86,16,48,45,0.0861243647441084,0.119605606284955
Arizona,Santa Cruz County,46511,1,16,2,55,45,0.042360746222191,0.11795517161992
Georgia,Gwinnett County,927781,46,322,56,48,45,0.0842874022205028,0.117856814576571
North Carolina,Guilford County,533670,16,128,28,49,45,0.0823996752820634,0.11785292398226
Connecticut,New Haven County,857620,89,1203,183,53,45,0.0526761416290524,0.116888123797686
Vermont,Orleans County,26907,2,14,5,45,45,0.116198318815638,0.116434817563179
Ohio,Mahoning County,229642,28,268,68,49,45,0.0800801596335172,0.116433246655108
Arkansas,Faulkner County,124806,17,184,25,53,45,0.0546569498539809,0.1156324076699
California,Calaveras County,45602,2,25,6,50,45,0.0731147884136659,0.115322804716051
Mississippi,Lincoln County,34205,4,50,8,53,45,0.056048145155534,0.114798268760504
Wyoming,Laramie County,98976,8,120,15,55,45,0.0446761435950605,0.114225658174768
Louisiana,St. Mary Parish,49774,2,18,4,49,45,0.0779079960435981,0.114156894234832
Washington,Pierce County,891299,138,642,229,44,45,0.137799696274951,0.113823025609662
Colorado,Montrose County,42214,3,27,8,48,45,0.0887629507680877,0.113670900852863
New Mexico,Do�a Ana County,217522,13,91,24,48,45,0.0884849582130163,0.113505953867747
Texas,Matagorda County,36552,3,47,6,55,45,0.0437055486529421,0.113491915151009
Wisconsin,Sheboygan County,115456,6,68,13,51,45,0.0644444781839853,0.113231679899046
Ohio,Geauga County,94031,5,95,12,56,46,0.0406225831933006,0.113183458247872
Georgia,Paulding County,164044,6,100,8,57,46,0.0362212773279463,0.112032217752833
Ohio,Coshocton County,36629,3,37,7,52,46,0.0596152080121124,0.111977984452236
Ohio,Belmont County,67505,2,20,5,49,46,0.078086566283869,0.111931343576018
Wisconsin,Milwaukee County,948201,219,1399,374,47,46,0.0971919111611486,0.111717125492789
California,Madera County,157672,6,73,10,54,46,0.0500552305697465,0.111571853611075
Iowa,Sioux County,34909,1,64,2,70,46,0.00959079274649094,0.111361551206728
Vermont,Rutland County,58672,5,79,13,53,46,0.0517443299189336,0.110607369488983
