FIPS,State,County,population,hospitalizations_per_case,severe_cases_rate,critical_case_rate,case_fatality_rate
19009,Iowa,Audubon County,5637,0.0965568564839454,0.0618033833599432,0.0347534731240021,0.0138825971261309
19011,Iowa,Benton County,25626,0.0793178412549754,0.0536278391867634,0.025690002068212,0.0100578404745181
19013,Iowa,Black Hawk County,133009,0.0689865347457691,0.0473288208241548,0.0216577139216143,0.00826399762422092
19015,Iowa,Boone County,26399,0.078885336565779,0.053825245918406,0.025060090647373,0.00933444372892913
19017,Iowa,Bremer County,24782,0.0781516423210395,0.0519460518925026,0.0262055904285368,0.0103244096521669
19019,Iowa,Buchanan County,21125,0.0755262958579882,0.0506292472899408,0.0248970485680473,0.00980451124260355
19021,Iowa,Buena Vista County,20260,0.0685311451135242,0.0461552434846989,0.0223759016288253,0.00855243632773939
19023,Iowa,Butler County,14735,0.0879697997964031,0.0569332454699695,0.0310365543264337,0.012334911435358
19025,Iowa,Calhoun County,9780,0.0911659509202454,0.0580331166666667,0.0331328342535787,0.0131407116564417
19027,Iowa,Carroll County,20344,0.0827148053480142,0.0535870960971294,0.0291277092508848,0.0116466928824223
19029,Iowa,Cass County,13191,0.0892264422712456,0.0579519088014555,0.03127453346979,0.0124642210598135
19031,Iowa,Cedar County,18445,0.082119165085389,0.0548648227703985,0.0272543423149905,0.0105110154513418
19033,Iowa,Cerro Gordo County,42984,0.0861612227805695,0.0567304021496371,0.0294308206309324,0.0113126809975805
19035,Iowa,Cherokee County,11468,0.0935995814440181,0.0589749874433205,0.0346245940006976,0.0135831008022323
19037,Iowa,Chickasaw County,12099,0.0843022563848252,0.055673932804364,0.0286283235804612,0.0110946193900322
19039,Iowa,Clarke County,9282,0.07583430295195,0.0519126707606119,0.0239216321913381,0.00895611075199311
19041,Iowa,Clay County,16313,0.0844323545638448,0.0549931458346104,0.0294392087292344,0.0113290774229142
19043,Iowa,Clayton County,17672,0.0908617587143504,0.0590983360683567,0.0317634226459937,0.0122880409687641
19045,Iowa,Clinton County,47218,0.0814709856410691,0.0544568147952052,0.0270141708458639,0.0106309081282562
19047,Iowa,Crawford County,17132,0.073810880224142,0.0495767864814382,0.0242340937427037,0.00956126196591175
19049,Iowa,Dallas County,84002,0.059147782195662,0.0426833863360396,0.0164643958596224,0.00626493678721935
19051,Iowa,Davis County,8885,0.0741463140123804,0.0490092938660664,0.025137020146314,0.0101023455261677
19053,Iowa,Decatur County,8044,0.0780806812531079,0.0499223718299354,0.0281583094231726,0.0111463500745898
19055,Iowa,Delaware County,17258,0.0833454050295515,0.0548875289141268,0.0284578761154247,0.0110251686174528
19057,Iowa,Des Moines County,39600,0.0823753787878788,0.0545758960606061,0.0277994827272727,0.0107236671717172
19059,Iowa,Dickinson County,17056,0.0959585483114446,0.0621632373358349,0.0337953109756098,0.0130547865853659
19061,Iowa,Dubuque County,96802,0.0750214871593562,0.0506936081899134,0.0243278789694428,0.00938869982025165
19063,Iowa,Emmet County,9551,0.0840952779813632,0.0552221930687886,0.0288730849125746,0.0113611810281646
19065,Iowa,Fayette County,19929,0.0858506196999348,0.0559898050579557,0.029860814641979,0.0118606503085955
19067,Iowa,Floyd County,15858,0.0852631479379493,0.055840597805524,0.0294225501324253,0.0116115121705133
19069,Iowa,Franklin County,10245,0.0845962908735969,0.0555390215714983,0.0290572693020986,0.0111848081991215
19071,Iowa,Fremont County,6968,0.0894951205510907,0.0585348913605052,0.0309602291905855,0.0119051148105626
19073,Iowa,Greene County,9003,0.0875432633566589,0.0569471227368655,0.0305961406197934,0.0118554437409752
19075,Iowa,Grundy County,12341,0.083509764200632,0.0547122123004619,0.0287975519001702,0.0113450401102018
