Year,GEO,Age group,VALUE
2019,Nova Scotia,16 years,9629
2019,Nova Scotia,17 years,10086
2019,Nova Scotia,18 years,10519
2019,Nova Scotia,19 years,11668
2019,Nova Scotia,20 to 24 years,61895
2019,Nova Scotia,20 years,11758
2019,Nova Scotia,21 years,12136
2019,Nova Scotia,22 years,12341
2019,Nova Scotia,23 years,12781
2019,Nova Scotia,24 years,12879
2019,Nova Scotia,25 to 29 years,62940
2019,Nova Scotia,25 years,12698
2019,Nova Scotia,26 years,12638
2019,Nova Scotia,27 years,12347
2019,Nova Scotia,28 years,12634
2019,Nova Scotia,29 years,12623
2019,Nova Scotia,30 to 34 years,59345
2019,Nova Scotia,30 years,12119
2019,Nova Scotia,31 years,11836
2019,Nova Scotia,32 years,11848
2019,Nova Scotia,33 years,11794
2019,Nova Scotia,34 years,11748
2019,Nova Scotia,35 to 39 years,57584
2019,Nova Scotia,35 years,11699
2019,Nova Scotia,36 years,11736
2019,Nova Scotia,37 years,11379
2019,Nova Scotia,38 years,11272
2019,Nova Scotia,39 years,11498
2019,Nova Scotia,40 to 44 years,56509
2019,Nova Scotia,40 years,11347
2019,Nova Scotia,41 years,10967
2019,Nova Scotia,42 years,11034
2019,Nova Scotia,43 years,11508
2019,Nova Scotia,44 years,11653
2019,Nova Scotia,45 to 49 years,61717
2019,Nova Scotia,45 years,11766
2019,Nova Scotia,46 years,12046
2019,Nova Scotia,47 years,12475
2019,Nova Scotia,48 years,12800
2019,Nova Scotia,49 years,12630
2019,Nova Scotia,50 to 54 years,67503
2019,Nova Scotia,50 years,12479
2019,Nova Scotia,51 years,12668
2019,Nova Scotia,52 years,13144
2019,Nova Scotia,53 years,14036
2019,Nova Scotia,54 years,15176
2019,Nova Scotia,55 to 59 years,79173
2019,Nova Scotia,55 years,15736
2019,Nova Scotia,56 years,15932
2019,Nova Scotia,57 years,16040
2019,Nova Scotia,58 years,15919
2019,Nova Scotia,59 years,15546
2019,Nova Scotia,60 to 64 years,74902
2019,Nova Scotia,60 years,15398
2019,Nova Scotia,61 years,15317
2019,Nova Scotia,62 years,14969
2019,Nova Scotia,63 years,14670
2019,Nova Scotia,64 years,14548
2019,Nova Scotia,65 to 69 years,64865
2019,Nova Scotia,65 years,14036
2019,Nova Scotia,66 years,13286
2019,Nova Scotia,67 years,12730
2019,Nova Scotia,68 years,12577
2019,Nova Scotia,69 years,12236
2019,Nova Scotia,70 to 74 years,54809
2019,Nova Scotia,70 years,12009
2019,Nova Scotia,71 years,12278
2019,Nova Scotia,72 years,11935
2019,Nova Scotia,73 years,9810
2019,Nova Scotia,74 years,8777
2019,Nova Scotia,75 to 79 years,35855
2019,Nova Scotia,75 years,8412
2019,Nova Scotia,76 years,7902
2019,Nova Scotia,77 years,7139
2019,Nova Scotia,78 years,6540
2019,Nova Scotia,79 years,5862
2019,Nova Scotia,80 to 84 years,23432
2019,Nova Scotia,80 years,5593
2019,Nova Scotia,81 years,5132
2019,Nova Scotia,82 years,4659
2019,Nova Scotia,83 years,4244
2019,Nova Scotia,84 years,3804
2019,Nova Scotia,85 to 89 years,13986
2019,Nova Scotia,85 years,3438
2019,Nova Scotia,86 years,3163
2019,Nova Scotia,87 years,2847
2019,Nova Scotia,88 years,2496
2019,Nova Scotia,89 years,2042
2019,Nova Scotia,90 to 94 years,6313
2019,Nova Scotia,90 years,1774
2019,Nova Scotia,91 years,1522
2019,Nova Scotia,92 years,1207
2019,Nova Scotia,93 years,1004
2019,Nova Scotia,94 years,806
2019,Nova Scotia,95 to 99 years,2085
2019,Nova Scotia,95 years,643
2019,Nova Scotia,96 years,503
2019,Nova Scotia,97 years,406
2019,Nova Scotia,98 years,320
2019,Nova Scotia,99 years,213
2019,Nova Scotia,100 years and over,356
2019,Nova Scotia,0 to 14 years,136647
2019,Nova Scotia,0 to 15 years,146224
2019,Nova Scotia,0 to 16 years,155853
2019,Nova Scotia,0 to 17 years,165939
2019,Nova Scotia,15 to 49 years,411469
2019,Nova Scotia,15 to 64 years,633047
2019,Nova Scotia,16 to 64 years,623470
2019,Nova Scotia,17 to 64 years,613841
2019,Nova Scotia,18 years and over,805456
2019,Nova Scotia,18 to 64 years,603755
2019,Nova Scotia,18 to 24 years,84082
2019,Nova Scotia,25 to 44 years,236378
2019,Nova Scotia,45 to 64 years,283295
2019,Nova Scotia,65 years and over,201701
2019,Nova Scotia,90 years and over,8754
2019,New Brunswick,All ages,776827
2019,New Brunswick,0 to 4 years,34313
2019,New Brunswick,0 years,6584
2019,New Brunswick,1 year,6689
2019,New Brunswick,2 years,6822
2019,New Brunswick,3 years,7013
